
step 0: train loss 6.1854 BPC, val loss 6.1780 BPC
iter 3630: loss 1.3349 BPC, time 63.51ms, mfu 5.73%
iter 3640: loss 1.3158 BPC, time 64.67ms, mfu 5.73%
iter 3650: loss 1.3168 BPC, time 61.56ms, mfu 5.76%
iter 3660: loss 1.3395 BPC, time 66.07ms, mfu 5.75%
iter 3670: loss 1.3501 BPC, time 64.73ms, mfu 5.75%
iter 3680: loss 1.2976 BPC, time 61.69ms, mfu 5.78%
iter 3690: loss 1.3445 BPC, time 61.99ms, mfu 5.80%
iter 3700: loss 1.2522 BPC, time 64.97ms, mfu 5.80%
iter 3710: loss 1.2790 BPC, time 63.96ms, mfu 5.80%
iter 3720: loss 1.3002 BPC, time 61.55ms, mfu 5.83%
iter 3730: loss 1.2830 BPC, time 64.14ms, mfu 5.82%
iter 3740: loss 1.3046 BPC, time 61.05ms, mfu 5.85%
step 3750: train loss 1.0642 BPC, val loss 2.3158 BPC
iter 3750: loss 1.2872 BPC, time 7998.95ms, mfu 5.27%
iter 3760: loss 1.3405 BPC, time 62.99ms, mfu 5.34%
iter 3770: loss 1.3483 BPC, time 63.42ms, mfu 5.39%
iter 3780: loss 1.3196 BPC, time 65.08ms, mfu 5.42%
iter 3790: loss 1.2974 BPC, time 61.99ms, mfu 5.48%
