
iter 2850: loss 1.6471 BPC, time 324.85ms, mfu 7.48%
iter 2860: loss 1.6117 BPC, time 316.54ms, mfu 7.50%
iter 2870: loss 1.7277 BPC, time 324.86ms, mfu 7.51%
iter 2880: loss 1.8395 BPC, time 317.86ms, mfu 7.53%
iter 2890: loss 1.7099 BPC, time 325.94ms, mfu 7.53%
iter 2900: loss 1.6348 BPC, time 328.45ms, mfu 7.53%
iter 2910: loss 1.6170 BPC, time 317.62ms, mfu 7.55%
iter 2920: loss 1.6647 BPC, time 317.51ms, mfu 7.57%
iter 2930: loss 1.7675 BPC, time 324.94ms, mfu 7.57%
iter 2940: loss 1.6608 BPC, time 319.70ms, mfu 7.58%
iter 2950: loss 1.7482 BPC, time 323.73ms, mfu 7.58%
iter 2960: loss 1.7029 BPC, time 324.90ms, mfu 7.58%
iter 2970: loss 1.6534 BPC, time 292.60ms, mfu 7.66%
iter 2980: loss 1.6914 BPC, time 322.73ms, mfu 7.65%
iter 2990: loss 1.6060 BPC, time 297.97ms, mfu 7.71%
step 3000: train loss 1.6320 BPC, val loss 1.6657 BPC
saving checkpoint to out-enwik-char
iter 3000: loss 1.5634 BPC, time 38179.42ms, mfu 6.95%
iter 3010: loss 1.7064 BPC, time 293.62ms, mfu 7.09%
iter 3020: loss 1.7281 BPC, time 322.16ms, mfu 7.14%
iter 3030: loss 1.6803 BPC, time 307.11ms, mfu 7.23%
iter 3040: loss 1.6863 BPC, time 323.62ms, mfu 7.27%
iter 3050: loss 1.6370 BPC, time 313.79ms, mfu 7.32%
iter 3060: loss 1.6784 BPC, time 315.73ms, mfu 7.37%
iter 3070: loss 1.6744 BPC, time 323.89ms, mfu 7.39%
iter 3080: loss 1.6859 BPC, time 321.83ms, mfu 7.41%
iter 3090: loss 1.6992 BPC, time 321.38ms, mfu 7.44%
iter 3100: loss 1.6855 BPC, time 311.54ms, mfu 7.48%
iter 3110: loss 1.7133 BPC, time 328.00ms, mfu 7.48%
iter 3120: loss 1.6196 BPC, time 323.93ms, mfu 7.49%
iter 3130: loss 1.6986 BPC, time 317.44ms, mfu 7.52%
iter 3140: loss 1.6987 BPC, time 325.56ms, mfu 7.52%
iter 3150: loss 1.6306 BPC, time 317.67ms, mfu 7.54%
iter 3160: loss 1.6520 BPC, time 322.79ms, mfu 7.55%
iter 3170: loss 1.6716 BPC, time 334.21ms, mfu 7.53%
iter 3180: loss 1.6335 BPC, time 329.16ms, mfu 7.52%
iter 3190: loss 1.6595 BPC, time 323.61ms, mfu 7.53%
iter 3200: loss 1.6306 BPC, time 318.33ms, mfu 7.55%
iter 3210: loss 1.6531 BPC, time 292.73ms, mfu 7.63%
iter 3220: loss 1.6151 BPC, time 321.47ms, mfu 7.63%
iter 3230: loss 1.6340 BPC, time 325.65ms, mfu 7.62%
iter 3240: loss 1.5677 BPC, time 318.43ms, mfu 7.63%
step 3250: train loss 1.6071 BPC, val loss 1.6368 BPC
saving checkpoint to out-enwik-char
iter 3250: loss 1.6301 BPC, time 38383.00ms, mfu 6.88%
iter 3260: loss 1.7251 BPC, time 310.73ms, mfu 6.98%
iter 3270: loss 1.7146 BPC, time 309.97ms, mfu 7.07%
iter 3280: loss 1.6091 BPC, time 323.90ms, mfu 7.13%
iter 3290: loss 1.6985 BPC, time 309.98ms, mfu 7.21%
iter 3300: loss 1.7020 BPC, time 328.90ms, mfu 7.23%
iter 3310: loss 1.6995 BPC, time 314.05ms, mfu 7.29%
iter 3320: loss 1.6179 BPC, time 315.84ms, mfu 7.34%
iter 3330: loss 1.7303 BPC, time 322.39ms, mfu 7.37%
iter 3340: loss 1.6553 BPC, time 325.31ms, mfu 7.39%
iter 3350: loss 1.5703 BPC, time 323.91ms, mfu 7.41%
iter 3360: loss 1.6237 BPC, time 318.43ms, mfu 7.44%
iter 3370: loss 1.7763 BPC, time 294.58ms, mfu 7.53%
iter 3380: loss 1.5713 BPC, time 321.12ms, mfu 7.54%
iter 3390: loss 1.6447 BPC, time 324.66ms, mfu 7.54%
iter 3400: loss 1.6593 BPC, time 327.11ms, mfu 7.54%
iter 3410: loss 1.6739 BPC, time 327.28ms, mfu 7.54%
iter 3420: loss 1.5841 BPC, time 327.77ms, mfu 7.53%
iter 3430: loss 1.6454 BPC, time 324.89ms, mfu 7.53%
iter 3440: loss 1.6534 BPC, time 315.49ms, mfu 7.56%
iter 3450: loss 1.5651 BPC, time 308.47ms, mfu 7.60%
iter 3460: loss 1.6617 BPC, time 325.06ms, mfu 7.60%
iter 3470: loss 1.6326 BPC, time 304.69ms, mfu 7.64%
iter 3480: loss 1.6397 BPC, time 327.06ms, mfu 7.63%
iter 3490: loss 1.6191 BPC, time 326.14ms, mfu 7.62%
step 3500: train loss 1.5832 BPC, val loss 1.6237 BPC
saving checkpoint to out-enwik-char
iter 3500: loss 1.6402 BPC, time 38353.24ms, mfu 6.86%
iter 3510: loss 1.6422 BPC, time 308.70ms, mfu 6.97%
iter 3520: loss 1.6045 BPC, time 315.27ms, mfu 7.06%
iter 3530: loss 1.6690 BPC, time 321.19ms, mfu 7.11%
iter 3540: loss 1.6817 BPC, time 320.69ms, mfu 7.17%
iter 3550: loss 1.5811 BPC, time 318.23ms, mfu 7.22%
